question,answer,category,entity,processed_question,category_encoded
Tell me about Bangalore Palace,"Bangalore Palace is a place in Bangalore. Tudor-style palace with woodcarvings and paintings It is located at Palace Road; Vasanth Nagar; Bangalore - 560052. Rating: 4.5/5. Price range: ₹230-₹460. Features: Woodcarvings, Paintings, Cultural Events. Timings: 10:00 AM - 5:30 PM",place,Bangalore Palace,tell bangalore palace,1
Where is Bangalore Palace located?,Bangalore Palace is located at Palace Road; Vasanth Nagar; Bangalore - 560052 in Bangalore.,place,Bangalore Palace,bangalore palace located,1
What are the timings of Bangalore Palace?,The timings for Bangalore Palace are 10:00 AM - 5:30 PM.,place,Bangalore Palace,timings bangalore palace,1
How much does Bangalore Palace cost?,The price range for Bangalore Palace is ₹230-₹460.,place,Bangalore Palace,much bangalore palace cost,1
Tell me about Kuntibetta,"Kuntibetta is a place in Mandya. Scenic trekking hill with historical significance It is located at Pandavapura; Mandya District; Karnataka. Rating: 4.2/5. Price range: Free. Features: Trekking, Historical Site, Scenic Views. Timings: 6:00 AM - 6:00 PM",place,Kuntibetta,tell kuntibetta,1
Where is Kuntibetta located?,Kuntibetta is located at Pandavapura; Mandya District; Karnataka in Mandya.,place,Kuntibetta,kuntibetta located,1
What are the timings of Kuntibetta?,The timings for Kuntibetta are 6:00 AM - 6:00 PM.,place,Kuntibetta,timings kuntibetta,1
How much does Kuntibetta cost?,The price range for Kuntibetta is Free.,place,Kuntibetta,much kuntibetta cost,1
Tell me about Pyramid Valley International,"Pyramid Valley International is a place in Bangalore. Largest meditation pyramid for spiritual practices It is located at Maralwadi Village Road; Karnataka 562112. Rating: 4.3/5. Price range: Free. Features: Meditation, Spiritual Retreat, Peaceful Environment. Timings: 9:00 AM - 5:00 PM",place,Pyramid Valley International,tell pyramid valley international,1
Where is Pyramid Valley International located?,Pyramid Valley International is located at Maralwadi Village Road; Karnataka 562112 in Bangalore.,place,Pyramid Valley International,pyramid valley international located,1
What are the timings of Pyramid Valley International?,The timings for Pyramid Valley International are 9:00 AM - 5:00 PM.,place,Pyramid Valley International,timings pyramid valley international,1
How much does Pyramid Valley International cost?,The price range for Pyramid Valley International is Free.,place,Pyramid Valley International,much pyramid valley international cost,1
Tell me about Vidhana Soudha,"Vidhana Soudha is a place in Bangalore. Karnataka's state legislature building It is located at Dr. Ambedkar Road; Bangalore - 560001. Rating: 4.6/5. Price range: Not open for public. Features: Neo-Dravidian Architecture, Government Building, Photo Point. Timings: External viewing only",place,Vidhana Soudha,tell vidhana soudha,1
Where is Vidhana Soudha located?,Vidhana Soudha is located at Dr. Ambedkar Road; Bangalore - 560001 in Bangalore.,place,Vidhana Soudha,vidhana soudha located,1
What are the timings of Vidhana Soudha?,The timings for Vidhana Soudha are External viewing only.,place,Vidhana Soudha,timings vidhana soudha,1
How much does Vidhana Soudha cost?,The price range for Vidhana Soudha is Not open for public.,place,Vidhana Soudha,much vidhana soudha cost,1
Tell me about ISKCON Temple,"ISKCON Temple is a place in Bangalore. One of the largest ISKCON temples It is located at Hare Krishna Hill; Chord Road; Rajajinagar; Bangalore - 560010. Rating: 4.8/5. Price range: Free. Features: Spiritual Atmosphere, Temple Architecture, Cultural Programs. Timings: 4:15 AM - 8:30 PM",place,ISKCON Temple,tell iskcon temple,1
Where is ISKCON Temple located?,ISKCON Temple is located at Hare Krishna Hill; Chord Road; Rajajinagar; Bangalore - 560010 in Bangalore.,place,ISKCON Temple,iskcon temple located,1
What are the timings of ISKCON Temple?,The timings for ISKCON Temple are 4:15 AM - 8:30 PM.,place,ISKCON Temple,timings iskcon temple,1
How much does ISKCON Temple cost?,The price range for ISKCON Temple is Free.,place,ISKCON Temple,much iskcon temple cost,1
Tell me about Akkayamma Betta,"Akkayamma Betta is a place in Bangalore. Popular trekking destination with breathtaking views It is located at Kanakapura Road; Bangalore. Rating: 4.0/5. Price range: Free. Features: Trekking, Scenic Views, Photography. Timings: 6:00 AM - 6:00 PM",place,Akkayamma Betta,tell akkayamma betta,1
Where is Akkayamma Betta located?,Akkayamma Betta is located at Kanakapura Road; Bangalore in Bangalore.,place,Akkayamma Betta,akkayamma betta located,1
What are the timings of Akkayamma Betta?,The timings for Akkayamma Betta are 6:00 AM - 6:00 PM.,place,Akkayamma Betta,timings akkayamma betta,1
How much does Akkayamma Betta cost?,The price range for Akkayamma Betta is Free.,place,Akkayamma Betta,much akkayamma betta cost,1
Tell me about Wonderla Amusement Park,"Wonderla Amusement Park is a place in Bangalore. India's top amusement park It is located at 28th KM; Mysore Road; Bangalore - 562109. Rating: 4.7/5. Price range: ₹1299. Features: Water Rides, Dry Rides, Entertainment Shows. Timings: 11:00 AM - 6:00 PM",place,Wonderla Amusement Park,tell wonderla amusement park,1
Where is Wonderla Amusement Park located?,Wonderla Amusement Park is located at 28th KM; Mysore Road; Bangalore - 562109 in Bangalore.,place,Wonderla Amusement Park,wonderla amusement park located,1
What are the timings of Wonderla Amusement Park?,The timings for Wonderla Amusement Park are 11:00 AM - 6:00 PM.,place,Wonderla Amusement Park,timings wonderla amusement park,1
How much does Wonderla Amusement Park cost?,The price range for Wonderla Amusement Park is ₹1299.,place,Wonderla Amusement Park,much wonderla amusement park cost,1
Tell me about Nandi Hills,"Nandi Hills is a place in Chikkaballapur. Historic hill station known for sunrise views It is located at Nandi Hills; Chikkaballapur District - 562103. Rating: 4.5/5. Price range: ₹20. Features: Sunrise Views, Pleasant Climate, Historical Site. Timings: 6:00 AM - 6:00 PM",place,Nandi Hills,tell nandi hills,1
Where is Nandi Hills located?,Nandi Hills is located at Nandi Hills; Chikkaballapur District - 562103 in Chikkaballapur.,place,Nandi Hills,nandi hills located,1
What are the timings of Nandi Hills?,The timings for Nandi Hills are 6:00 AM - 6:00 PM.,place,Nandi Hills,timings nandi hills,1
How much does Nandi Hills cost?,The price range for Nandi Hills is ₹20.,place,Nandi Hills,much nandi hills cost,1
Tell me about Tipu Sultan's Summer Palace,"Tipu Sultan's Summer Palace is a place in Bangalore. Indo-Islamic architecture showcasing Tipu Sultan's reign It is located at Albert Victor Road; Chamrajpet; Bangalore - 560018. Rating: 4.3/5. Price range: ₹15-₹200. Features: Historical Site, Indo-Islamic Architecture, Museum. Timings: 8:30 AM - 5:30 PM",place,Tipu Sultan's Summer Palace,tell tipu sultans summer palace,1
Where is Tipu Sultan's Summer Palace located?,Tipu Sultan's Summer Palace is located at Albert Victor Road; Chamrajpet; Bangalore - 560018 in Bangalore.,place,Tipu Sultan's Summer Palace,tipu sultans summer palace located,1
What are the timings of Tipu Sultan's Summer Palace?,The timings for Tipu Sultan's Summer Palace are 8:30 AM - 5:30 PM.,place,Tipu Sultan's Summer Palace,timings tipu sultans summer palace,1
