category,name,description,location,rating,price_range,contact,address,features,timings
place,Bangalore Palace,Tudor-style palace with woodcarvings and paintings,Bangalore,4.5,₹230-₹460,080-22343857,Palace Road; Vasanth Nagar; Bangalore - 560052,Woodcarvings;Paintings;Cultural Events,10:00 AM - 5:30 PM
place,Kuntibetta,Scenic trekking hill with historical significance,Mandya,4.2,Free,,Pandavapura; Mandya District; Karnataka,Trekking;Historical Site;Scenic Views,6:00 AM - 6:00 PM
place,Pyramid Valley International,Largest meditation pyramid for spiritual practices,Bangalore,4.3,Free,080-27560749,Maralwadi Village Road; Karnataka 562112,Meditation;Spiritual Retreat;Peaceful Environment,9:00 AM - 5:00 PM
place,Vidhana Soudha,Karnataka's state legislature building,Bangalore,4.6,Not open for public,080-22253989,Dr. Ambedkar Road; Bangalore - 560001,Neo-Dravidian Architecture;Government Building;Photo Point,External viewing only
place,ISKCON Temple,One of the largest ISKCON temples,Bangalore,4.8,Free,080-23471956,Hare Krishna Hill; Chord Road; Rajajinagar; Bangalore - 560010,Spiritual Atmosphere;Temple Architecture;Cultural Programs,4:15 AM - 8:30 PM
place,Akkayamma Betta,Popular trekking destination with breathtaking views,Bangalore,4.0,Free,,Kanakapura Road; Bangalore,Trekking;Scenic Views;Photography,6:00 AM - 6:00 PM
place,Wonderla Amusement Park,India's top amusement park,Bangalore,4.7,₹1299,080-22010333,28th KM; Mysore Road; Bangalore - 562109,Water Rides;Dry Rides;Entertainment Shows,11:00 AM - 6:00 PM
place,Nandi Hills,Historic hill station known for sunrise views,Chikkaballapur,4.5,₹20,,Nandi Hills; Chikkaballapur District - 562103,Sunrise Views;Pleasant Climate;Historical Site,6:00 AM - 6:00 PM
place,Tipu Sultan's Summer Palace,Indo-Islamic architecture showcasing Tipu Sultan's reign,Bangalore,4.3,₹15-₹200,080-26702731,Albert Victor Road; Chamrajpet; Bangalore - 560018,Historical Site;Indo-Islamic Architecture;Museum,8:30 AM - 5:30 PM
place,HAL Aerospace Museum,India's first aerospace museum,Bangalore,4.4,₹30-₹50,080-22318341,HAL Old Airport Road; Marathahalli; Bangalore - 560037,Aviation History;Aircraft Display;Interactive Exhibits,9:00 AM - 5:00 PM
place,Wonder La,Amusement and water park with thrilling rides,Bangalore,4.6,$$$,080-22010333,28th Km; Mysore Road,Water Rides;Amusement Rides;Food Court,10:00 AM - 7:00 PM
place,Bannerghatta National Park,Biological reserve with a zoo and safari park,Bangalore,4.3,₹80-₹260,080-27828300,Bannerghatta Road; Bannerghatta - 560083,Zoo;Safari Park;Butterfly Enclosure;Rescue Center,9:00 AM - 5:00 PM (Closed on Tuesdays)
place,Visvesvaraya Industrial & Technological Museum,Science museum with interactive exhibits,Bangalore,4.5,₹40,080-22866200,Kasturba Road; Bangalore - 560001,Interactive Exhibits;Technology Displays;Engineering Models,9:30 AM - 6:00 PM
place,Innovative Film City,Entertainment park with film sets and attractions,Bangalore,4.0,₹699,080-29552222,Off Bangalore-Mysore Highway; Bidadi; Bangalore - 562109,Film Sets;Wax Museum;Dinosaur Park;Adventure Activities,10:00 AM - 7:00 PM
place,Jawaharlal Nehru Planetarium,Educational facility with astronomy shows,Bangalore,4.4,₹35,080-22379725,Sri T. Chowdaiah Road; High Grounds; Bangalore - 560001,Astronomy Shows;Science Exhibits;Educational Programs,10:00 AM - 5:30 PM (Closed on Mondays)
place,Bangalore Aquarium,One of India's largest freshwater aquariums,Bangalore,4.2,₹25,080-22213149,Cubbon Park; Kasturba Road; Bangalore - 560001,Fish Species;Educational Tours;Information Center,10:00 AM - 5:30 PM (Closed on Mondays)
place,Thottikallu Falls (TG Halli),Scenic waterfall surrounded by rocky hills,Bangalore,4.3,₹20,,Kanakpura Road; Bangalore - 560082,Waterfall;Rocky Hills;Greenery;Picnic Spot,7:00 AM - 6:00 PM
place,Government Museum,Archaeological museum with artifacts and sculptures,Bangalore,4.1,₹10-₹100,080-22866442,Kasturba Road; Bangalore - 560001,Archaeological Artifacts;Sculptures;Paintings,10:00 AM - 5:00 PM (Closed on Mondays)
place,Chunchi Falls,Beautiful cascade waterfall on the Arkavati River,Bangalore,4.4,₹25,,Kanakapura Taluk; Bangalore Rural - 562112,Waterfall;Arkavati River;Natural Beauty,9:00 AM - 5:00 PM
hotel,The Leela Palace,5-star luxury hotel with opulent interiors,Bangalore,4.9,₹15000-₹50000,080-25211234,23; HAL Old Airport Road; Kodihalli; Bangalore - 560008,Swimming Pool;Spa;Multiple Restaurants;Fitness Center,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,ITC Windsor,Historic luxury hotel with Victorian architecture,Bangalore,4.8,₹12000-₹40000,080-22269898,25; Golf Course Road; Abshot Layout; Bangalore - 560052,Fine Dining;Spa;Business Center;Fitness Studio,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Taj MG Road,Contemporary luxury hotel in business district,Bangalore,4.7,₹10000-₹35000,080-66604444,41/3; Mahatma Gandhi Road; Bangalore - 560001,Rooftop Pool;Spa;Multiple Restaurants;Fitness Center,Check-in: 2:00 PM; Check-out: 12:00 PM
hotel,Conrad Bengaluru,Modern luxury hotel with stunning city views,Bangalore,4.8,₹14000-₹45000,080-22144444,25/3; Kensington Road; Bengaluru; Karnataka 560008,24/7 Dining;Spa;Business Center;Fitness Center,Check-in: 3:00 PM; Check-out: 12:00 PM
